ca_yr,yr,x,y_cat,data_type
2012,70,-2813,-1322000,T
2011,69,-96248,-1322000,T
2013,71,-74741,-1322000,T
2012,70,-108721,-1322000,T
2013,71,-113683,-1322000,T
2011,69,-7573,-1322000,T
2011,69,-54239,-1322000,T
2012,70,-208804,-1322000,T
2012,70,-177636,-1322000,T
2012,70,-106011,-1322000,T
2011,69,-243105,-1322000,T
2011,69,-134732,-1322000,T
2011,69,-67153,-1322000,T
2013,71,-107617,-1322000,T
2010,68,-56437,-1322000,T
2010,68,-51662,-1322000,T
2012,70,-137431,-1322000,T
2013,71,-250105,-1322000,T
2013,71,-188468,-1322000,T
2012,70,-102680,-1322000,T
2011,69,-94449,-1322000,T
2012,70,25282,-1322000,T
2012,70,-10095,-1322000,T
2013,71,-121529,-1322000,T
2011,69,-61003,-1322000,T
2011,69,-55348,-1322000,T
2014,72,-74475,-1322000,T
2016,74,-116105,-1322000,T
2014,72,-100264,-1322000,T
2016,74,-113081,-1322000,T
2014,72,-155,-1322000,T
2015,73,-93917,-1322000,T
2014,72,-124522,-1322000,T
2015,73,-82606,-1322000,T
2012,70,-95366,-1322000,T
2013,71,-50381,-1322000,T
2013,71,-63050,-1322000,T
2014,72,-53490,-1322000,T
2014,72,-54059,-1322000,T
2013,71,16160,-1322000,T
2013,71,-271400,-1322000,T
2013,71,-251270,-1322000,T
2013,71,-147903,-1322000,T
2012,70,-3011,-1322000,T
2015,73,-73127,-1322000,T
2015,73,-55248,-1322000,T
2015,73,-87040,-1322000,T
2015,73,-56874,-1322000,T
2015,73,-85650,-1322000,T
2013,71,-133666,-1322000,T
2014,72,-52911,-1322000,T
2015,73,-102620,-1322000,T
2013,71,-87158,-1322000,T
2013,71,-80254,-1322000,T
2014,72,-107174,-1322000,T
2015,73,-67360,-1322000,T
2015,73,-145354,-1322000,T
2015,73,-76681,-1322000,T
2015,73,-80791,-1322000,T
2016,74,-92892,-1322000,T
2014,72,-155896,-1322000,T
2016,74,-61663,-1322000,T
2014,72,-101050,-1322000,T
2014,72,-103066,-1322000,T
2015,73,-105837,-1322000,T
2015,73,-105977,-1322000,T
2016,74,-90776,-1322000,T
2015,73,-88683,-1322000,T
2016,74,-43584,-1322000,T
2015,73,-97039,-1322000,T
2016,74,-115555,-1322000,T
2014,72,-88331,-1322000,T
2015,73,-121199,-1322000,T
2016,74,-138551,-1322000,T
2016,74,-111573,-1322000,T
2014,72,-104484,-1322000,T
2014,72,-64383,-1322000,T
2015,73,-168021,-1322000,T
2015,73,-130702,-1322000,T
2014,72,-86982,-1322000,T
2015,73,-88517,-1322000,T
1988,46,-75596,-1322000,O
1989,47,-146133,-1322000,O
1989,47,-78153,-1322000,O
1989,47,-50268,-1322000,O
1991,49,-111489,-1322000,O
1993,51,-95925,-1322000,O
1994,52,-87949,-1322000,O
1996,54,-15529,-1322000,O
1998,56,44850,-1322000,O
1998,56,-60947,-1322000,O
1998,56,-321800,-1322000,O
1998,56,38865,-1322000,O
2000,58,-14114,-1322000,O
2001,59,-42321,-1322000,O
2003,61,31157,-1322000,O
1981,39,-83291,-1322000,O
1982,40,-110006,-1322000,O
1983,41,-107346,-1322000,O
1986,44,-88290,-1322000,O
1987,45,-70293,-1322000,O
1988,46,-101270,-1322000,O
2005,63,-47216,-1322000,O
2005,63,-133411,-1322000,O
2006,64,-117656,-1322000,O
2006,64,-59100,-1322000,O
2007,65,-100574,-1322000,O
2007,65,-156058,-1322000,O
2007,65,-91711,-1322000,O
2007,65,-106178,-1322000,O
2007,65,19734,-1322000,O
2008,66,-157622,-1322000,O
2008,66,-10057,-1322000,O
2008,66,-134033,-1322000,O
2008,66,-5449,-1322000,O
2009,67,-40127,-1322000,O
2009,67,-83894,-1322000,O
2009,67,-14264,-1322000,O
2009,67,-73647,-1322000,O
2009,67,-17768,-1322000,O
2010,68,4989,-1322000,O
2010,68,37590,-1322000,O
2011,69,-81258,-1322000,O
2011,69,54623,-1322000,O
2012,70,-40159,-1322000,O
2012,70,-12207,-1322000,O
2013,71,-38091,-1322000,O
2013,71,-11349,-1322000,O
2015,73,-167113,-1322000,O
2015,73,-171797,-1322000,O
2010,68,-163550,-1022000,T
2011,69,-95395,-1022000,T
2012,70,-8997,-1022000,T
2011,69,-115535,-1022000,T
2012,70,-130533,-1022000,T
2013,71,-140301,-1022000,T
2013,71,-139007,-1022000,T
2010,68,-160968,-1022000,T
2010,68,-145755,-1022000,T
2011,69,-133813,-1022000,T
2012,70,-132428,-1022000,T
2012,70,-101986,-1022000,T
2010,68,-182779,-1022000,T
2011,69,-134218,-1022000,T
2011,69,-138048,-1022000,T
2012,70,-127882,-1022000,T
2010,68,-118890,-1022000,T
2010,68,-113654,-1022000,T
2010,68,-75824,-1022000,T
2011,69,-94521,-1022000,T
2012,70,-98397,-1022000,T
2011,69,-137748,-1022000,T
2013,71,-116025,-1022000,T
2013,71,-168158,-1022000,T
2010,68,-19755,-1022000,T
2011,69,-34913,-1022000,T
2013,71,-101196,-1022000,T
2011,69,-135558,-1022000,T
2011,69,-146236,-1022000,T
2011,69,-155592,-1022000,T
2012,70,-59598,-1022000,T
2013,71,-145825,-1022000,T
2013,71,-131319,-1022000,T
2014,72,-125663,-1022000,T
2010,68,-138120,-1022000,T
2010,68,-107522,-1022000,T
2011,69,-110783,-1022000,T
2011,69,-146294,-1022000,T
2012,70,-142943,-1022000,T
2012,70,-163206,-1022000,T
2010,68,-93282,-1022000,T
2011,69,-113693,-1022000,T
2012,70,-140368,-1022000,T
2011,69,-124335,-1022000,T
2011,69,-131355,-1022000,T
2011,69,-133809,-1022000,T
2011,69,-119713,-1022000,T
2012,70,-22105,-1022000,T
2011,69,-137702,-1022000,T
2012,70,-110384,-1022000,T
2012,70,-129150,-1022000,T
2013,71,-145193,-1022000,T
2012,70,-61355,-1022000,T
2011,69,-142188,-1022000,T
2012,70,-163046,-1022000,T
2013,71,-159457,-1022000,T
2010,68,-143680,-1022000,T
2012,70,-152264,-1022000,T
2013,71,-131004,-1022000,T
2012,70,-172176,-1022000,T
2012,70,-172513,-1022000,T
2012,70,-128145,-1022000,T
2012,70,-135413,-1022000,T
2012,70,-130713,-1022000,T
2012,70,-127789,-1022000,T
2012,70,-170732,-1022000,T
2012,70,-196627,-1022000,T
2012,70,-189310,-1022000,T
2012,70,-206975,-1022000,T
2012,70,-222435,-1022000,T
2013,71,-150895,-1022000,T
2013,71,-167057,-1022000,T
2012,70,-120991,-1022000,T
2013,71,-152079,-1022000,T
2012,70,-166163,-1022000,T
2013,71,-167403,-1022000,T
2012,70,-91449,-1022000,T
2011,69,-133820,-1022000,T
2011,69,-115963,-1022000,T
2012,70,-112304,-1022000,T
2011,69,-130222,-1022000,T
2011,69,-82905,-1022000,T
2012,70,-109759,-1022000,T
2014,72,-86173,-1022000,T
2015,73,-127096,-1022000,T
2015,73,-123470,-1022000,T
2015,73,-115209,-1022000,T
2016,74,-100041,-1022000,T
2016,74,-100457,-1022000,T
2012,70,-152488,-1022000,T
2013,71,-106453,-1022000,T
2013,71,-131358,-1022000,T
2015,73,-111296,-1022000,T
2015,73,-130629,-1022000,T
2016,74,-108036,-1022000,T
2011,69,-130198,-1022000,T
2013,71,-119369,-1022000,T
2013,71,-126729,-1022000,T
2011,69,-134463,-1022000,T
2011,69,-110501,-1022000,T
2012,70,-131517,-1022000,T
2012,70,-102582,-1022000,T
2013,71,-162767,-1022000,T
2013,71,-127568,-1022000,T
2012,70,-145922,-1022000,T
2013,71,-135616,-1022000,T
2011,69,-115139,-1022000,T
2011,69,-92012,-1022000,T
2011,69,-92123,-1022000,T
2011,69,-93147,-1022000,T
2012,70,-113204,-1022000,T
2011,69,-94710,-1022000,T
2012,70,14229,-1022000,T
2013,71,-110756,-1022000,T
2014,72,-81662,-1022000,T
2015,73,-139195,-1022000,T
2016,74,-132057,-1022000,T
2016,74,-133243,-1022000,T
2016,74,-88197,-1022000,T
2016,74,-107981,-1022000,T
2016,74,-86463,-1022000,T
2016,74,-72346,-1022000,T
2015,73,-56982,-1022000,T
2015,73,-54729,-1022000,T
2015,73,-133706,-1022000,T
2015,73,-179427,-1022000,T
2016,74,-120015,-1022000,T
2011,69,-86906,-1022000,T
2012,70,-75531,-1022000,T
2012,70,-87781,-1022000,T
2012,70,-81724,-1022000,T
2013,71,-135511,-1022000,T
2014,72,-145005,-1022000,T
2014,72,-117509,-1022000,T
2012,70,-168275,-1022000,T
2012,70,-190473,-1022000,T
2012,70,-158006,-1022000,T
2012,70,-144541,-1022000,T
2013,71,-143207,-1022000,T
2013,71,-101492,-1022000,T
2013,71,-115151,-1022000,T
2013,71,-114383,-1022000,T
2014,72,-161329,-1022000,T
2013,71,-116668,-1022000,T
2014,72,-120327,-1022000,T
2015,73,-87814,-1022000,T
2012,70,-147766,-1022000,T
2012,70,-144477,-1022000,T
2012,70,-141762,-1022000,T
2013,71,-121352,-1022000,T
2013,71,-116028,-1022000,T
2013,71,-147959,-1022000,T
2014,72,-115591,-1022000,T
2013,71,-129326,-1022000,T
2013,71,-86243,-1022000,T
2013,71,-78081,-1022000,T
2013,71,-10160,-1022000,T
2014,72,-39824,-1022000,T
2015,73,-114462,-1022000,T
2015,73,-127009,-1022000,T
2012,70,-74596,-1022000,T
2012,70,-64257,-1022000,T
2012,70,-63437,-1022000,T
2013,71,-276115,-1022000,T
2013,71,-123776,-1022000,T
2014,72,-33989,-1022000,T
2013,71,-152867,-1022000,T
2012,70,-130761,-1022000,T
2013,71,-150065,-1022000,T
2013,71,-132351,-1022000,T
2013,71,-145640,-1022000,T
2014,72,-145488,-1022000,T
2012,70,-120976,-1022000,T
2013,71,-87853,-1022000,T
2013,71,-84641,-1022000,T
2015,73,-132425,-1022000,T
2015,73,-90644,-1022000,T
2014,72,-151309,-1022000,T
2014,72,-129713,-1022000,T
2015,73,-108415,-1022000,T
2015,73,-48479,-1022000,T
2015,73,-45083,-1022000,T
2015,73,-60031,-1022000,T
2015,73,-133167,-1022000,T
2016,74,-115756,-1022000,T
2013,71,-87791,-1022000,T
2013,71,-50027,-1022000,T
2013,71,-105769,-1022000,T
2013,71,-148430,-1022000,T
2013,71,-127645,-1022000,T
2014,72,-150931,-1022000,T
2013,71,-116688,-1022000,T
2014,72,-105431,-1022000,T
2013,71,-118572,-1022000,T
2013,71,-127543,-1022000,T
2014,72,-123600,-1022000,T
2015,73,-126604,-1022000,T
2015,73,-159325,-1022000,T
2013,71,-162677,-1022000,T
2013,71,-137081,-1022000,T
2014,72,-127583,-1022000,T
2013,71,-192606,-1022000,T
2014,72,-118382,-1022000,T
2013,71,-150073,-1022000,T
2013,71,-145668,-1022000,T
2013,71,-138777,-1022000,T
2015,73,-81548,-1022000,T
2015,73,-78234,-1022000,T
2014,72,-174105,-1022000,T
2014,72,-159370,-1022000,T
2014,72,-161775,-1022000,T
2015,73,-152888,-1022000,T
2015,73,-142324,-1022000,T
2015,73,-116871,-1022000,T
2015,73,-116805,-1022000,T
2014,72,-46860,-1022000,T
2014,72,-39404,-1022000,T
2015,73,-92974,-1022000,T
2016,74,-129472,-1022000,T
2016,74,-159852,-1022000,T
2016,74,-158085,-1022000,T
2014,72,-32314,-1022000,T
2015,73,-104206,-1022000,T
2016,74,-119896,-1022000,T
2015,73,-121584,-1022000,T
2016,74,-137888,-1022000,T
2015,73,-117724,-1022000,T
2014,72,-124381,-1022000,T
2015,73,-138895,-1022000,T
2015,73,-168002,-1022000,T
2016,74,-154759,-1022000,T
2014,72,-79213,-1022000,T
2015,73,-132411,-1022000,T
2015,73,-92882,-1022000,T
2016,74,-119118,-1022000,T
2016,74,-73784,-1022000,T
2014,72,-135930,-1022000,T
2015,73,-136028,-1022000,T
2016,74,-133239,-1022000,T
2014,72,-112882,-1022000,T
2015,73,-160762,-1022000,T
2016,74,-175836,-1022000,T
2014,72,-176721,-1022000,T
2015,73,-146676,-1022000,T
2016,74,-137731,-1022000,T
2014,72,-117503,-1022000,T
2015,73,-142053,-1022000,T
2014,72,-119814,-1022000,T
2015,73,-115543,-1022000,T
2015,73,-114456,-1022000,T
2015,73,-96814,-1022000,T
2014,72,-144840,-1022000,T
2015,73,-119485,-1022000,T
2016,74,-117380,-1022000,T
1991,49,-224744,-1022000,O
1990,48,-69074,-1022000,O
1992,50,-38806,-1022000,O
1992,50,-135369,-1022000,O
1994,52,-121825,-1022000,O
1994,52,-180553,-1022000,O
1998,56,-89440,-1022000,O
1999,57,146395,-1022000,O
1999,57,-97790,-1022000,O
2001,59,12367,-1022000,O
2001,59,-130641,-1022000,O
2002,60,-220239,-1022000,O
2002,60,-100981,-1022000,O
2002,60,-101049,-1022000,O
2002,60,-114714,-1022000,O
2003,61,-152135,-1022000,O
2003,61,-189428,-1022000,O
2003,61,-102488,-1022000,O
2003,61,-151322,-1022000,O
2004,62,-215490,-1022000,O
2004,62,-227934,-1022000,O
1977,35,-233114,-1022000,O
1981,39,-83603,-1022000,O
1982,40,-137581,-1022000,O
1983,41,-116269,-1022000,O
1983,41,-23203,-1022000,O
1984,42,-125651,-1022000,O
1985,43,-147243,-1022000,O
1986,44,-156524,-1022000,O
1986,44,-62629,-1022000,O
1979,37,-153591,-1022000,O
2006,64,-121645,-1022000,O
2007,65,4478,-1022000,O
2007,65,-186516,-1022000,O
2008,66,-103956,-1022000,O
2008,66,-139879,-1022000,O
2008,66,-126333,-1022000,O
2008,66,-117326,-1022000,O
2009,67,-155655,-1022000,O
2010,68,-168725,-1022000,O
2010,68,-180407,-1022000,O
2014,72,-95670,-1022000,O
2011,69,-64517,-1022000,O
2011,69,-37474,-1022000,O
2011,69,-93314,-1022000,O
2012,70,-122102,-1022000,O
2012,70,-123597,-1022000,O
2013,71,-172853,-1022000,O
2013,71,-113562,-1022000,O
2013,71,-113290,-1022000,O
2013,71,-64481,-1022000,O
2014,72,-144324,-1022000,O
2010,68,-216473,-722000,T
2011,69,-172401,-722000,T
2010,68,-213346,-722000,T
2010,68,-198457,-722000,T
2011,69,-137599,-722000,T
2011,69,-192127,-722000,T
2012,70,-200750,-722000,T
2010,68,-174484,-722000,T
2011,69,-188248,-722000,T
2011,69,-185701,-722000,T
2011,69,-142268,-722000,T
2012,70,-185639,-722000,T
2012,70,-161900,-722000,T
2010,68,-212626,-722000,T
2011,69,-209340,-722000,T
2012,70,-144935,-722000,T
2012,70,-181364,-722000,T
2012,70,-188577,-722000,T
2013,71,-179032,-722000,T
2013,71,-187369,-722000,T
2010,68,-226948,-722000,T
2011,69,-172180,-722000,T
2011,69,-181116,-722000,T
2010,68,-200405,-722000,T
2010,68,-201472,-722000,T
2010,68,-187048,-722000,T
2011,69,-212663,-722000,T
2011,69,-166179,-722000,T
2012,70,-185294,-722000,T
2012,70,-185952,-722000,T
2011,69,-146874,-722000,T
2012,70,-153166,-722000,T
2012,70,-199910,-722000,T
2013,71,-160331,-722000,T
2013,71,-164807,-722000,T
2013,71,-140379,-722000,T
2013,71,-154014,-722000,T
2010,68,-14968,-722000,T
2010,68,-16321,-722000,T
2011,69,-183193,-722000,T
2012,70,-121313,-722000,T
2012,70,-71736,-722000,T
2013,71,-176377,-722000,T
2011,69,-203528,-722000,T
2011,69,-243083,-722000,T
2011,69,-253152,-722000,T
2012,70,-94274,-722000,T
2013,71,-200646,-722000,T
2013,71,-210927,-722000,T
2014,72,-194741,-722000,T
2014,72,-206543,-722000,T
2011,69,-181270,-722000,T
2011,69,-243110,-722000,T
2010,68,-283929,-722000,T
2010,68,-199634,-722000,T
2011,69,-376743,-722000,T
2011,69,-378696,-722000,T
2011,69,-330631,-722000,T
2011,69,-251236,-722000,T
2011,69,-213452,-722000,T
2012,70,-251023,-722000,T
2011,69,-135418,-722000,T
2012,70,-153267,-722000,T
2011,69,-184785,-722000,T
2011,69,-143192,-722000,T
2012,70,-268218,-722000,T
2012,70,-236826,-722000,T
2012,70,-184346,-722000,T
2012,70,-140632,-722000,T
2012,70,-112743,-722000,T
2012,70,-88456,-722000,T
2011,69,-171902,-722000,T
2012,70,-176641,-722000,T
2012,70,-186612,-722000,T
2013,71,-166193,-722000,T
2010,68,-156048,-722000,T
2011,69,-191462,-722000,T
2011,69,-192294,-722000,T
2012,70,-55732,-722000,T
2013,71,-204265,-722000,T
2011,69,-171899,-722000,T
2012,70,-195943,-722000,T
2013,71,-169040,-722000,T
2013,71,-171871,-722000,T
2011,69,-152425,-722000,T
2011,69,-172058,-722000,T
2011,69,-176859,-722000,T
2011,69,-198736,-722000,T
2011,69,-216448,-722000,T
2011,69,-213064,-722000,T
2012,70,-172993,-722000,T
2013,71,-156165,-722000,T
2012,70,-8644,-722000,T
2012,70,-8453,-722000,T
2012,70,-153168,-722000,T
2012,70,-157065,-722000,T
2012,70,-202236,-722000,T
2013,71,-132278,-722000,T
2012,70,-185920,-722000,T
2012,70,-201568,-722000,T
2012,70,-185919,-722000,T
2013,71,-186313,-722000,T
2013,71,-164515,-722000,T
2012,70,-185950,-722000,T
2012,70,-146450,-722000,T
2012,70,-209207,-722000,T
2012,70,-201740,-722000,T
2013,71,-164845,-722000,T
2012,70,-189988,-722000,T
2012,70,-226863,-722000,T
2012,70,-271798,-722000,T
2013,71,-190588,-722000,T
2013,71,-187004,-722000,T
2012,70,-136340,-722000,T
2012,70,-172108,-722000,T
2012,70,-172177,-722000,T
2011,69,-185462,-722000,T
2012,70,-112494,-722000,T
2014,72,-183218,-722000,T
2014,72,-138850,-722000,T
2014,72,-129772,-722000,T
2015,73,-119791,-722000,T
2016,74,-244471,-722000,T
2016,74,-243339,-722000,T
2016,74,-228005,-722000,T
2016,74,-176828,-722000,T
2014,72,-147538,-722000,T
2014,72,-149700,-722000,T
2015,73,-161074,-722000,T
2015,73,-185902,-722000,T
2015,73,-185926,-722000,T
2016,74,-128119,-722000,T
2016,74,-163100,-722000,T
2016,74,-205104,-722000,T
2011,69,-157189,-722000,T
2011,69,-179231,-722000,T
2012,70,-201546,-722000,T
2012,70,-185925,-722000,T
2012,70,-179686,-722000,T
2012,70,-190246,-722000,T
2013,71,-208944,-722000,T
2011,69,-230610,-722000,T
2011,69,-143643,-722000,T
2011,69,-262220,-722000,T
2011,69,-229795,-722000,T
2011,69,-179337,-722000,T
2012,70,-353779,-722000,T
2013,71,-236645,-722000,T
2013,71,-212128,-722000,T
2013,71,-192739,-722000,T
2013,71,-213059,-722000,T
2014,72,-207986,-722000,T
2014,72,-252548,-722000,T
2015,73,-182466,-722000,T
2011,69,81385,-722000,T
2011,69,102081,-722000,T
2012,70,-225510,-722000,T
2011,69,-160582,-722000,T
2011,69,-134950,-722000,T
2012,70,-192896,-722000,T
2012,70,-251481,-722000,T
2011,69,-136306,-722000,T
2012,70,50428,-722000,T
2012,70,15008,-722000,T
2012,70,1729,-722000,T
2014,72,-231181,-722000,T
2014,72,-164174,-722000,T
2014,72,-159280,-722000,T
2015,73,-182855,-722000,T
2016,74,-190694,-722000,T
2016,74,-125924,-722000,T
2013,71,-169484,-722000,T
2014,72,-153176,-722000,T
2014,72,-181130,-722000,T
2014,72,-285337,-722000,T
2014,72,-296616,-722000,T
2015,73,-206481,-722000,T
2015,73,-227352,-722000,T
2016,74,-155651,-722000,T
2011,69,-198266,-722000,T
2011,69,-147704,-722000,T
2012,70,-162745,-722000,T
2012,70,-190499,-722000,T
2012,70,-227205,-722000,T
2013,71,-151150,-722000,T
2013,71,-174016,-722000,T
2013,71,-209912,-722000,T
2014,72,-287893,-722000,T
2014,72,-287688,-722000,T
2014,72,-245851,-722000,T
2013,71,-167210,-722000,T
2013,71,-183379,-722000,T
2014,72,-137451,-722000,T
2015,73,-164821,-722000,T
2015,73,-226734,-722000,T
2012,70,-212570,-722000,T
2012,70,-200279,-722000,T
2013,71,-350307,-722000,T
2013,71,-164832,-722000,T
2014,72,-167604,-722000,T
2014,72,-279622,-722000,T
2012,70,-128482,-722000,T
2012,70,-108161,-722000,T
2012,70,-122126,-722000,T
2013,71,-288952,-722000,T
2013,71,-268230,-722000,T
2014,72,-250801,-722000,T
2014,72,-184716,-722000,T
2014,72,-196295,-722000,T
2013,71,-43056,-722000,T
2013,71,4477,-722000,T
2013,71,-12728,-722000,T
2012,70,-183672,-722000,T
2012,70,-153845,-722000,T
2012,70,-106354,-722000,T
2013,71,-273691,-722000,T
2014,72,-204304,-722000,T
2014,72,-167003,-722000,T
2014,72,-161521,-722000,T
2013,71,-170018,-722000,T
2014,72,-99583,-722000,T
2013,71,-187401,-722000,T
2012,70,-201604,-722000,T
2012,70,-186247,-722000,T
2012,70,-164985,-722000,T
2013,71,-202285,-722000,T
2013,71,-174397,-722000,T
2013,71,-169595,-722000,T
2014,72,-187525,-722000,T
2013,71,-147429,-722000,T
2013,71,-157981,-722000,T
2014,72,-249431,-722000,T
2014,72,-154531,-722000,T
2014,72,-129712,-722000,T
2015,73,-216436,-722000,T
2013,71,-212205,-722000,T
2013,71,-184702,-722000,T
2014,72,-181126,-722000,T
2014,72,-285789,-722000,T
2015,73,-178782,-722000,T
2016,74,-214859,-722000,T
2013,71,-244859,-722000,T
2015,73,-170655,-722000,T
2013,71,-103798,-722000,T
2014,72,-159544,-722000,T
2013,71,-147692,-722000,T
2014,72,-182352,-722000,T
2014,72,-145223,-722000,T
2015,73,-164778,-722000,T
2015,73,-139037,-722000,T
2013,71,-147982,-722000,T
2013,71,-178149,-722000,T
2014,72,-119962,-722000,T
2014,72,-166893,-722000,T
2015,73,-154943,-722000,T
2013,71,-168864,-722000,T
2014,72,-241172,-722000,T
2013,71,-114754,-722000,T
2013,71,-139064,-722000,T
2014,72,-180471,-722000,T
2014,72,-306977,-722000,T
2013,71,-156631,-722000,T
2013,71,-165616,-722000,T
2013,71,-165434,-722000,T
2014,72,-169518,-722000,T
2013,71,-115083,-722000,T
2013,71,-139281,-722000,T
2013,71,-129473,-722000,T
2015,73,-173268,-722000,T
2015,73,-195536,-722000,T
2013,71,-145947,-722000,T
2013,71,-212165,-722000,T
2013,71,-187933,-722000,T
2014,72,-150954,-722000,T
2015,73,-178436,-722000,T
2015,73,-178436,-722000,T
2013,71,-202344,-722000,T
2013,71,-164495,-722000,T
2014,72,-134250,-722000,T
2013,71,-184701,-722000,T
2014,72,-183184,-722000,T
2014,72,-129757,-722000,T
2015,73,-143855,-722000,T
2015,73,-149532,-722000,T
2014,72,-209845,-722000,T
2014,72,-214219,-722000,T
2015,73,-181483,-722000,T
2014,72,-207452,-722000,T
2014,72,-183184,-722000,T
2014,72,-163827,-722000,T
2014,72,-129769,-722000,T
2015,73,-250595,-722000,T
2015,73,-257435,-722000,T
2015,73,-229312,-722000,T
2015,73,-196808,-722000,T
2014,72,-75207,-722000,T
2015,73,-113839,-722000,T
2015,73,-128405,-722000,T
2015,73,-141322,-722000,T
2016,74,-172138,-722000,T
2016,74,-210934,-722000,T
2016,74,-232691,-722000,T
2014,72,-47572,-722000,T
2015,73,-102743,-722000,T
2015,73,-142242,-722000,T
2015,73,-138045,-722000,T
2016,74,-179661,-722000,T
2014,72,-192027,-722000,T
2015,73,-198572,-722000,T
2016,74,-183128,-722000,T
2014,72,-220531,-722000,T
2014,72,-209696,-722000,T
2014,72,-154207,-722000,T
2015,73,-204011,-722000,T
2014,72,-150948,-722000,T
2014,72,-153984,-722000,T
2015,73,-218336,-722000,T
2015,73,-210616,-722000,T
2016,74,-195061,-722000,T
2016,74,-244042,-722000,T
2014,72,-147151,-722000,T
2015,73,-182895,-722000,T
2015,73,-216207,-722000,T
2015,73,-216041,-722000,T
2015,73,-153967,-722000,T
2016,74,-220242,-722000,T
2014,72,-132752,-722000,T
2014,72,-158612,-722000,T
2015,73,-133356,-722000,T
2016,74,-157757,-722000,T
2016,74,-206539,-722000,T
2015,73,-221045,-722000,T
2016,74,-134807,-722000,T
2014,72,-210633,-722000,T
2015,73,-165338,-722000,T
2014,72,-182954,-722000,T
2015,73,-197046,-722000,T
2015,73,-160719,-722000,T
2014,72,-164432,-722000,T
2014,72,-160620,-722000,T
2015,73,-152201,-722000,T
2015,73,-207839,-722000,T
2015,73,-172128,-722000,T
2014,72,-169878,-722000,T
2015,73,-136827,-722000,T
2016,74,-182824,-722000,T
1981,39,-195756,-722000,O
1986,44,-224398,-722000,O
1986,44,-237191,-722000,O
1990,48,-205122,-722000,O
1992,50,-184151,-722000,O
1993,51,-546016,-722000,O
1996,54,-489970,-722000,O
1997,55,-505253,-722000,O
1999,57,-151377,-722000,O
1999,57,-515616,-722000,O
2000,58,-543996,-722000,O
2000,58,-537308,-722000,O
2001,59,-514234,-722000,O
2002,60,-130930,-722000,O
2002,60,-133600,-722000,O
2003,61,-151377,-722000,O
2003,61,-212626,-722000,O
2003,61,-247835,-722000,O
2003,61,-217600,-722000,O
2003,61,-123969,-722000,O
2003,61,-61295,-722000,O
2003,61,-220560,-722000,O
2003,61,-220560,-722000,O
2003,61,-122535,-722000,O
2004,62,-163621,-722000,O
2004,62,-135424,-722000,O
2004,62,-163211,-722000,O
2004,62,-497413,-722000,O
2005,63,-244649,-722000,O
2005,63,-160221,-722000,O
1986,44,-300139,-722000,O
1987,45,-231363,-722000,O
1988,46,-275067,-722000,O
1988,46,-273859,-722000,O
1989,47,-273859,-722000,O
2001,59,-257269,-722000,O
2003,61,-242354,-722000,O
2003,61,-193598,-722000,O
2004,62,-257269,-722000,O
2004,62,-257269,-722000,O
2004,62,-163603,-722000,O
2004,62,-255983,-722000,O
2004,62,-257269,-722000,O
2005,63,-257332,-722000,O
2007,65,-258037,-722000,O
1978,36,-313592,-722000,O
1981,39,-196776,-722000,O
1981,39,-196730,-722000,O
1982,40,-102538,-722000,O
1983,41,-195319,-722000,O
1983,41,-255359,-722000,O
1983,41,-88663,-722000,O
1984,42,-202036,-722000,O
1984,42,-196776,-722000,O
1984,42,-172401,-722000,O
2006,64,-504766,-722000,O
2009,67,-264135,-722000,O
2007,65,-258841,-722000,O
2007,65,-588347,-722000,O
2007,65,-68581,-722000,O
2008,66,-156906,-722000,O
2008,66,-138709,-722000,O
2008,66,-243112,-722000,O
2009,67,-140895,-722000,O
2004,62,-618312,-722000,O
2010,68,-258366,-722000,O
2010,68,-619286,-722000,O
2011,69,-254906,-722000,O
2011,69,-215592,-722000,O
2011,69,-185881,-722000,O
2012,70,-166781,-722000,O
2013,71,-52676,-722000,O
2013,71,-66429,-722000,O
2014,72,-150290,-722000,O
2014,72,-107430,-722000,O
2015,73,-261375,-722000,O
2016,74,-167645,-722000,O
2016,74,-147140,-722000,O
2016,74,-188372,-722000,O
2016,74,-311459,-722000,O
2010,68,-188536,-422000,T
2010,68,-195568,-422000,T
2011,69,-200638,-422000,T
2011,69,-203439,-422000,T
2012,70,-162722,-422000,T
2012,70,-214737,-422000,T
2012,70,-184764,-422000,T
2013,71,-167224,-422000,T
2011,69,-133755,-422000,T
2011,69,-107559,-422000,T
2010,68,-198964,-422000,T
2012,70,-196436,-422000,T
2012,70,-201107,-422000,T
2010,68,-231107,-422000,T
2011,69,-174722,-422000,T
2010,68,-227030,-422000,T
2011,69,-205474,-422000,T
2012,70,-126848,-422000,T
2012,70,-131890,-422000,T
2011,69,-214302,-422000,T
2012,70,-199996,-422000,T
2012,70,-274994,-422000,T
2012,70,-307648,-422000,T
2013,71,-195059,-422000,T
2013,71,-189235,-422000,T
2010,68,-187680,-422000,T
2010,68,-130042,-422000,T
2011,69,-177403,-422000,T
2012,70,-161086,-422000,T
2013,71,-223495,-422000,T
2012,70,-137420,-422000,T
2012,70,-137450,-422000,T
2013,71,-263865,-422000,T
2013,71,-279151,-422000,T
2014,72,-171274,-422000,T
2014,72,-133261,-422000,T
2014,72,-158336,-422000,T
2010,68,-211644,-422000,T
2010,68,-211219,-422000,T
2011,69,-220926,-422000,T
2011,69,-185795,-422000,T
2011,69,-186150,-422000,T
